FAC 1.1.5
Endian	= 0
TSess	= 1599226448
Type	= 1
Verbose	= 1
Fe Z	=  26.0
NBlocks	= 1
E0	= 0, -3.12294722E+04

NELE	= 10
NLEV	= 241
  ILEV  IBASE    ENERGY       P   VNL   2J
     0     -1  0.00000000E+00 0   201    0 1*2.2*8                          2p6                                              2p+4(0)0
     1     -1  7.24057446E+02 1   300    4 1*2.2*7.3*1                      2p5.3s1                                          2p+3(3)3.3s+1(1)4
     2     -1  7.26139060E+02 1   300    2 1*2.2*7.3*1                      2p5.3s1                                          2p+3(3)3.3s+1(1)2
     3     -1  7.36694023E+02 1   300    0 1*2.2*7.3*1                      2p5.3s1                                          2p-1(1)1.3s+1(1)0
     4     -1  7.38041251E+02 1   300    2 1*2.2*7.3*1                      2p5.3s1                                          2p-1(1)1.3s+1(1)2
     5     -1  7.54176411E+02 0   301    2 1*2.2*7.3*1                      2p5.3p1                                          2p+3(3)3.3p-1(1)2
     6     -1  7.58013297E+02 0   301    4 1*2.2*7.3*1                      2p5.3p1                                          2p+3(3)3.3p-1(1)4
     7     -1  7.59549506E+02 0   301    6 1*2.2*7.3*1                      2p5.3p1                                          2p+3(3)3.3p+1(3)6
     8     -1  7.60795778E+02 0   301    2 1*2.2*7.3*1                      2p5.3p1                                          2p+3(3)3.3p+1(3)2
     9     -1  7.62632962E+02 0   301    4 1*2.2*7.3*1                      2p5.3p1                                          2p+3(3)3.3p+1(3)4
    10     -1  7.68242955E+02 0   301    0 1*2.2*7.3*1                      2p5.3p1                                          2p+3(3)3.3p+1(3)0
    11     -1  7.70101094E+02 0   301    2 1*2.2*7.3*1                      2p5.3p1                                          2p-1(1)1.3p-1(1)2
    12     -1  7.73313983E+02 0   301    2 1*2.2*7.3*1                      2p5.3p1                                          2p-1(1)1.3p+1(3)2
    13     -1  7.73734132E+02 0   301    4 1*2.2*7.3*1                      2p5.3p1                                          2p-1(1)1.3p+1(3)4
    14     -1  7.89595658E+02 0   301    0 1*2.2*7.3*1                      2p5.3p1                                          2p-1(1)1.3p-1(1)0
    15     -1  8.00185519E+02 1   302    0 1*2.2*7.3*1                      2p5.3d1                                          2p+3(3)3.3d-1(3)0
    16     -1  8.01171759E+02 1   302    2 1*2.2*7.3*1                      2p5.3d1                                          2p+3(3)3.3d-1(3)2
    17     -1  8.03048609E+02 1   302    4 1*2.2*7.3*1                      2p5.3d1                                          2p+3(3)3.3d+1(5)4
    18     -1  8.03148040E+02 1   302    8 1*2.2*7.3*1                      2p5.3d1                                          2p+3(3)3.3d+1(5)8
    19     -1  8.03934871E+02 1   302    6 1*2.2*7.3*1                      2p5.3d1                                          2p+3(3)3.3d-1(3)6
    20     -1  8.05707349E+02 1   302    4 1*2.2*7.3*1                      2p5.3d1                                          2p+3(3)3.3d-1(3)4
    21     -1  8.06833592E+02 1   302    6 1*2.2*7.3*1                      2p5.3d1                                          2p+3(3)3.3d+1(5)6
    22     -1  8.11613704E+02 1   302    2 1*2.2*7.3*1                      2p5.3d1                                          2p+3(3)3.3d+1(5)2
    23     -1  8.16620103E+02 1   302    4 1*2.2*7.3*1                      2p5.3d1                                          2p-1(1)1.3d-1(3)4
    24     -1  8.17338366E+02 1   302    4 1*2.2*7.3*1                      2p5.3d1                                          2p-1(1)1.3d+1(5)4
    25     -1  8.17895454E+02 1   302    6 1*2.2*7.3*1                      2p5.3d1                                          2p-1(1)1.3d+1(5)6
    26     -1  8.25604388E+02 1   302    2 1*2.2*7.3*1                      2p5.3d1                                          2p-1(1)1.3d-1(3)2
    27     -1  8.60634707E+02 0   300    2 1*2.2*7.3*1                      2s1.3s1                                          2s+1(1)1.3s+1(1)2
    28     -1  8.67584264E+02 0   300    0 1*2.2*7.3*1                      2s1.3s1                                          2s+1(1)1.3s+1(1)0
    29     -1  8.93565850E+02 1   301    0 1*2.2*7.3*1                      2s1.3p1                                          2s+1(1)1.3p-1(1)0
    30     -1  8.94031501E+02 1   301    2 1*2.2*7.3*1                      2s1.3p1                                          2s+1(1)1.3p-1(1)2
    31     -1  8.96322388E+02 1   301    4 1*2.2*7.3*1                      2s1.3p1                                          2s+1(1)1.3p+1(3)4
    32     -1  8.98400071E+02 1   301    2 1*2.2*7.3*1                      2s1.3p1                                          2s+1(1)1.3p+1(3)2
    33     -1  9.38041107E+02 0   302    2 1*2.2*7.3*1                      2s1.3d1                                          2s+1(1)1.3d-1(3)2
    34     -1  9.38177963E+02 0   302    4 1*2.2*7.3*1                      2s1.3d1                                          2s+1(1)1.3d-1(3)4
    35     -1  9.38436911E+02 0   302    6 1*2.2*7.3*1                      2s1.3d1                                          2s+1(1)1.3d+1(5)6
    36     -1  9.43576909E+02 0   302    4 1*2.2*7.3*1                      2s1.3d1                                          2s+1(1)1.3d+1(5)4
    37     -1  9.75802323E+02 1   400    4 1*2.2*7.4*1                      2p5.4s1                                          2p+3(3)3.4s+1(1)4
    38     -1  9.76450989E+02 1   400    2 1*2.2*7.4*1                      2p5.4s1                                          2p+3(3)3.4s+1(1)2
    39     -1  9.88421603E+02 0   401    2 1*2.2*7.4*1                      2p5.4p1                                          2p+3(3)3.4p-1(1)2
    40     -1  9.88482248E+02 1   400    0 1*2.2*7.4*1                      2p5.4s1                                          2p-1(1)1.4s+1(1)0
    41     -1  9.88816130E+02 1   400    2 1*2.2*7.4*1                      2p5.4s1                                          2p-1(1)1.4s+1(1)2
    42     -1  9.89317556E+02 0   401    4 1*2.2*7.4*1                      2p5.4p1                                          2p+3(3)3.4p-1(1)4
    43     -1  9.89987900E+02 0   401    6 1*2.2*7.4*1                      2p5.4p1                                          2p+3(3)3.4p+1(3)6
    44     -1  9.90395936E+02 0   401    2 1*2.2*7.4*1                      2p5.4p1                                          2p+3(3)3.4p+1(3)2
    45     -1  9.90984958E+02 0   401    4 1*2.2*7.4*1                      2p5.4p1                                          2p+3(3)3.4p+1(3)4
    46     -1  9.94802576E+02 0   401    0 1*2.2*7.4*1                      2p5.4p1                                          2p+3(3)3.4p+1(3)0
    47     -1  1.00173637E+03 0   401    2 1*2.2*7.4*1                      2p5.4p1                                          2p-1(1)1.4p-1(1)2
    48     -1  1.00290673E+03 0   401    2 1*2.2*7.4*1                      2p5.4p1                                          2p-1(1)1.4p+1(3)2
    49     -1  1.00313707E+03 0   401    4 1*2.2*7.4*1                      2p5.4p1                                          2p-1(1)1.4p+1(3)4
    50     -1  1.00515469E+03 1   402    0 1*2.2*7.4*1                      2p5.4d1                                          2p+3(3)3.4d-1(3)0
    51     -1  1.00558792E+03 1   402    2 1*2.2*7.4*1                      2p5.4d1                                          2p+3(3)3.4d-1(3)2
    52     -1  1.00613576E+03 1   402    8 1*2.2*7.4*1                      2p5.4d1                                          2p+3(3)3.4d+1(5)8
    53     -1  1.00629482E+03 0   401    0 1*2.2*7.4*1                      2p5.4p1                                          2p-1(1)1.4p-1(1)0
    54     -1  1.00630197E+03 1   402    4 1*2.2*7.4*1                      2p5.4d1                                          2p+3(3)3.4d+1(5)4
    55     -1  1.00640403E+03 1   402    6 1*2.2*7.4*1                      2p5.4d1                                          2p+3(3)3.4d-1(3)6
    56     -1  1.00702167E+03 1   402    4 1*2.2*7.4*1                      2p5.4d1                                          2p+3(3)3.4d-1(3)4
    57     -1  1.00740004E+03 1   402    6 1*2.2*7.4*1                      2p5.4d1                                          2p+3(3)3.4d+1(5)6
    58     -1  1.00991418E+03 1   402    2 1*2.2*7.4*1                      2p5.4d1                                          2p+3(3)3.4d+1(5)2
    59     -1  1.01402418E+03 0   403    2 1*2.2*7.4*1                      2p5.4f1                                          2p+3(3)3.4f-1(5)2
    60     -1  1.01403086E+03 0   403    8 1*2.2*7.4*1                      2p5.4f1                                          2p+3(3)3.4f-1(5)8
    61     -1  1.01404341E+03 0   403   10 1*2.2*7.4*1                      2p5.4f1                                          2p+3(3)3.4f+1(7)10
    62     -1  1.01417074E+03 0   403    4 1*2.2*7.4*1                      2p5.4f1                                          2p+3(3)3.4f+1(7)4
    63     -1  1.01451723E+03 0   403    6 1*2.2*7.4*1                      2p5.4f1                                          2p+3(3)3.4f+1(7)6
    64     -1  1.01458246E+03 0   403    4 1*2.2*7.4*1                      2p5.4f1                                          2p+3(3)3.4f-1(5)4
    65     -1  1.01460973E+03 0   403    6 1*2.2*7.4*1                      2p5.4f1                                          2p+3(3)3.4f-1(5)6
    66     -1  1.01468817E+03 0   403    8 1*2.2*7.4*1                      2p5.4f1                                          2p+3(3)3.4f+1(7)8
    67     -1  1.01898476E+03 1   402    4 1*2.2*7.4*1                      2p5.4d1                                          2p-1(1)1.4d-1(3)4
    68     -1  1.01920427E+03 1   402    4 1*2.2*7.4*1                      2p5.4d1                                          2p-1(1)1.4d+1(5)4
    69     -1  1.01950333E+03 1   402    6 1*2.2*7.4*1                      2p5.4d1                                          2p-1(1)1.4d+1(5)6
    70     -1  1.02160905E+03 1   402    2 1*2.2*7.4*1                      2p5.4d1                                          2p-1(1)1.4d-1(3)2
    71     -1  1.02691874E+03 0   403    6 1*2.2*7.4*1                      2p5.4f1                                          2p-1(1)1.4f-1(5)6
    72     -1  1.02702703E+03 0   403    8 1*2.2*7.4*1                      2p5.4f1                                          2p-1(1)1.4f+1(7)8
    73     -1  1.02715325E+03 0   403    6 1*2.2*7.4*1                      2p5.4f1                                          2p-1(1)1.4f+1(7)6
    74     -1  1.02717864E+03 0   403    4 1*2.2*7.4*1                      2p5.4f1                                          2p-1(1)1.4f-1(5)4
    75     -1  1.08385429E+03 1   500    4 1*2.2*7.5*1                      2p5.5s1                                          2p+3(3)3.5s+1(1)4
    76     -1  1.08417741E+03 1   500    2 1*2.2*7.5*1                      2p5.5s1                                          2p+3(3)3.5s+1(1)2
    77     -1  1.09009655E+03 0   501    2 1*2.2*7.5*1                      2p5.5p1                                          2p+3(3)3.5p-1(1)2
    78     -1  1.09057236E+03 0   501    4 1*2.2*7.5*1                      2p5.5p1                                          2p+3(3)3.5p-1(1)4
    79     -1  1.09091139E+03 0   501    6 1*2.2*7.5*1                      2p5.5p1                                          2p+3(3)3.5p+1(3)6
    80     -1  1.09110883E+03 0   501    2 1*2.2*7.5*1                      2p5.5p1                                          2p+3(3)3.5p+1(3)2
    81     -1  1.09139323E+03 0   501    4 1*2.2*7.5*1                      2p5.5p1                                          2p+3(3)3.5p+1(3)4
    82     -1  1.09346838E+03 0   501    0 1*2.2*7.5*1                      2p5.5p1                                          2p+3(3)3.5p+1(3)0
    83     -1  1.09653001E+03 1   500    0 1*2.2*7.5*1                      2p5.5s1                                          2p-1(1)1.5s+1(1)0
    84     -1  1.09667941E+03 1   500    2 1*2.2*7.5*1                      2p5.5s1                                          2p-1(1)1.5s+1(1)2
    85     -1  1.09834405E+03 1   502    0 1*2.2*7.5*1                      2p5.5d1                                          2p+3(3)3.5d-1(3)0
    86     -1  1.09856024E+03 1   502    2 1*2.2*7.5*1                      2p5.5d1                                          2p+3(3)3.5d-1(3)2
    87     -1  1.09879847E+03 1   502    8 1*2.2*7.5*1                      2p5.5d1                                          2p+3(3)3.5d+1(5)8
    88     -1  1.09889200E+03 1   502    4 1*2.2*7.5*1                      2p5.5d1                                          2p+3(3)3.5d+1(5)4
    89     -1  1.09891505E+03 1   502    6 1*2.2*7.5*1                      2p5.5d1                                          2p+3(3)3.5d-1(3)6
    90     -1  1.09919901E+03 1   502    4 1*2.2*7.5*1                      2p5.5d1                                          2p+3(3)3.5d-1(3)4
    91     -1  1.09937679E+03 1   502    6 1*2.2*7.5*1                      2p5.5d1                                          2p+3(3)3.5d+1(5)6
    92     -1  1.10071465E+03 1   502    2 1*2.2*7.5*1                      2p5.5d1                                          2p+3(3)3.5d+1(5)2
    93     -1  1.10251925E+03 0   503    2 1*2.2*7.5*1                      2p5.5f1                                          2p+3(3)3.5f-1(5)2
    94     -1  1.10263668E+03 0   503    4 1*2.2*7.5*1                      2p5.5f1                                          2p+3(3)3.5f+1(7)4
    95     -1  1.10266850E+03 0   503   10 1*2.2*7.5*1                      2p5.5f1                                          2p+3(3)3.5f+1(7)10
    96     -1  1.10267225E+03 0   503    8 1*2.2*7.5*1                      2p5.5f1                                          2p+3(3)3.5f-1(5)8
    97     -1  1.10284822E+03 0   503    6 1*2.2*7.5*1                      2p5.5f1                                          2p+3(3)3.5f+1(7)6
    98     -1  1.10293994E+03 0   503    4 1*2.2*7.5*1                      2p5.5f1                                          2p+3(3)3.5f-1(5)4
    99     -1  1.10294475E+03 0   503    6 1*2.2*7.5*1                      2p5.5f1                                          2p+3(3)3.5f-1(5)6
   100     -1  1.10298922E+03 0   503    8 1*2.2*7.5*1                      2p5.5f1                                          2p+3(3)3.5f+1(7)8
   101     -1  1.10305848E+03 1   504    4 1*2.2*7.5*1                      2p5.5g1                                          2p+3(3)3.5g-1(7)4
   102     -1  1.10308535E+03 1   504    6 1*2.2*7.5*1                      2p5.5g1                                          2p+3(3)3.5g+1(9)6
   103     -1  1.10314028E+03 0   501    2 1*2.2*7.5*1                      2p5.5p1                                          2p-1(1)1.5p-1(1)2
   104     -1  1.10317949E+03 1   504   10 1*2.2*7.5*1                      2p5.5g1                                          2p+3(3)3.5g-1(7)10
   105     -1  1.10320167E+03 1   504   12 1*2.2*7.5*1                      2p5.5g1                                          2p+3(3)3.5g+1(9)12
   106     -1  1.10325754E+03 1   504    6 1*2.2*7.5*1                      2p5.5g1                                          2p+3(3)3.5g-1(7)6
   107     -1  1.10327472E+03 1   504    8 1*2.2*7.5*1                      2p5.5g1                                          2p+3(3)3.5g+1(9)8
   108     -1  1.10333868E+03 1   504    8 1*2.2*7.5*1                      2p5.5g1                                          2p+3(3)3.5g-1(7)8
   109     -1  1.10336048E+03 1   504   10 1*2.2*7.5*1                      2p5.5g1                                          2p+3(3)3.5g+1(9)10
   110     -1  1.10357826E+03 0   501    2 1*2.2*7.5*1                      2p5.5p1                                          2p-1(1)1.5p+1(3)2
   111     -1  1.10383596E+03 0   501    4 1*2.2*7.5*1                      2p5.5p1                                          2p-1(1)1.5p+1(3)4
   112     -1  1.10489756E+03 0   501    0 1*2.2*7.5*1                      2p5.5p1                                          2p-1(1)1.5p-1(1)0
   113     -1  1.11083446E+03 0   400    2 1*2.2*7.4*1                      2s1.4s1                                          2s+1(1)1.4s+1(1)2
   114     -1  1.11155382E+03 1   502    4 1*2.2*7.5*1                      2p5.5d1                                          2p-1(1)1.5d-1(3)4
   115     -1  1.11164607E+03 1   502    4 1*2.2*7.5*1                      2p5.5d1                                          2p-1(1)1.5d+1(5)4
   116     -1  1.11180951E+03 1   502    6 1*2.2*7.5*1                      2p5.5d1                                          2p-1(1)1.5d+1(5)6
   117     -1  1.11265699E+03 1   502    2 1*2.2*7.5*1                      2p5.5d1                                          2p-1(1)1.5d-1(3)2
   118     -1  1.11288275E+03 0   400    0 1*2.2*7.4*1                      2s1.4s1                                          2s+1(1)1.4s+1(1)0
   119     -1  1.11545995E+03 0   503    6 1*2.2*7.5*1                      2p5.5f1                                          2p-1(1)1.5f-1(5)6
   120     -1  1.11551000E+03 0   503    6 1*2.2*7.5*1                      2p5.5f1                                          2p-1(1)1.5f+1(7)6
   121     -1  1.11552148E+03 0   503    8 1*2.2*7.5*1                      2p5.5f1                                          2p-1(1)1.5f+1(7)8
   122     -1  1.11557008E+03 0   503    4 1*2.2*7.5*1                      2p5.5f1                                          2p-1(1)1.5f-1(5)4
   123     -1  1.11590965E+03 1   504    6 1*2.2*7.5*1                      2p5.5g1                                          2p-1(1)1.5g-1(7)6
   124     -1  1.11592865E+03 1   504    8 1*2.2*7.5*1                      2p5.5g1                                          2p-1(1)1.5g+1(9)8
   125     -1  1.11596002E+03 1   504    8 1*2.2*7.5*1                      2p5.5g1                                          2p-1(1)1.5g-1(7)8
   126     -1  1.11598429E+03 1   504   10 1*2.2*7.5*1                      2p5.5g1                                          2p-1(1)1.5g+1(9)10
   127     -1  1.12390699E+03 1   401    0 1*2.2*7.4*1                      2s1.4p1                                          2s+1(1)1.4p-1(1)0
   128     -1  1.12405413E+03 1   401    2 1*2.2*7.4*1                      2s1.4p1                                          2s+1(1)1.4p-1(1)2
   129     -1  1.12497151E+03 1   401    4 1*2.2*7.4*1                      2s1.4p1                                          2s+1(1)1.4p+1(3)4
   130     -1  1.12562128E+03 1   401    2 1*2.2*7.4*1                      2s1.4p1                                          2s+1(1)1.4p+1(3)2
   131     -1  1.14030648E+03 1   600    4 1*2.2*7.6*1                      2p5.6s1                                          2p+3(3)3.6s+1(1)4
   132     -1  1.14045117E+03 1   600    2 1*2.2*7.6*1                      2p5.6s1                                          2p+3(3)3.6s+1(1)2
   133     -1  1.14062204E+03 0   402    2 1*2.2*7.4*1                      2s1.4d1                                          2s+1(1)1.4d-1(3)2
   134     -1  1.14066459E+03 0   402    4 1*2.2*7.4*1                      2s1.4d1                                          2s+1(1)1.4d-1(3)4
   135     -1  1.14077065E+03 0   402    6 1*2.2*7.4*1                      2s1.4d1                                          2s+1(1)1.4d+1(5)6
   136     -1  1.14247255E+03 0   402    4 1*2.2*7.4*1                      2s1.4d1                                          2s+1(1)1.4d+1(5)4
   137     -1  1.14391692E+03 0   601    2 1*2.2*7.6*1                      2p5.6p1                                          2p+3(3)3.6p-1(1)2
   138     -1  1.14417209E+03 0   601    4 1*2.2*7.6*1                      2p5.6p1                                          2p+3(3)3.6p-1(1)4
   139     -1  1.14436568E+03 0   601    6 1*2.2*7.6*1                      2p5.6p1                                          2p+3(3)3.6p+1(3)6
   140     -1  1.14438461E+03 0   601    2 1*2.2*7.6*1                      2p5.6p1                                          2p+3(3)3.6p+1(3)2
   141     -1  1.14456605E+03 0   601    4 1*2.2*7.6*1                      2p5.6p1                                          2p+3(3)3.6p+1(3)4
   142     -1  1.14576768E+03 0   601    0 1*2.2*7.6*1                      2p5.6p1                                          2p+3(3)3.6p+1(3)0
   143     -1  1.14797375E+03 1   403    4 1*2.2*7.4*1                      2s1.4f1                                          2s+1(1)1.4f-1(5)4
   144     -1  1.14807188E+03 1   403    6 1*2.2*7.4*1                      2s1.4f1                                          2s+1(1)1.4f+1(7)6
   145     -1  1.14827992E+03 1   403    8 1*2.2*7.4*1                      2s1.4f1                                          2s+1(1)1.4f+1(7)8
   146     -1  1.14831065E+03 1   403    6 1*2.2*7.4*1                      2s1.4f1                                          2s+1(1)1.4f-1(5)6
   147     -1  1.14846474E+03 1   602    0 1*2.2*7.6*1                      2p5.6d1                                          2p+3(3)3.6d-1(3)0
   148     -1  1.14858153E+03 1   602    2 1*2.2*7.6*1                      2p5.6d1                                          2p+3(3)3.6d-1(3)2
   149     -1  1.14870213E+03 1   602    8 1*2.2*7.6*1                      2p5.6d1                                          2p+3(3)3.6d+1(5)8
   150     -1  1.14876026E+03 1   602    4 1*2.2*7.6*1                      2p5.6d1                                          2p+3(3)3.6d+1(5)4
   151     -1  1.14878529E+03 1   602    6 1*2.2*7.6*1                      2p5.6d1                                          2p+3(3)3.6d-1(3)6
   152     -1  1.14890802E+03 1   602    4 1*2.2*7.6*1                      2p5.6d1                                          2p+3(3)3.6d-1(3)4
   153     -1  1.14902206E+03 1   602    6 1*2.2*7.6*1                      2p5.6d1                                          2p+3(3)3.6d+1(5)6
   154     -1  1.14976497E+03 1   602    2 1*2.2*7.6*1                      2p5.6d1                                          2p+3(3)3.6d+1(5)2
   155     -1  1.15087189E+03 0   603   10 1*2.2*7.6*1                      2p5.6f1                                          2p+3(3)3.6f+1(7)10
   156     -1  1.15087638E+03 0   603    8 1*2.2*7.6*1                      2p5.6f1                                          2p+3(3)3.6f-1(5)8
   157     -1  1.15091152E+03 0   603    2 1*2.2*7.6*1                      2p5.6f1                                          2p+3(3)3.6f-1(5)2
   158     -1  1.15095429E+03 0   603    4 1*2.2*7.6*1                      2p5.6f1                                          2p+3(3)3.6f+1(7)4
   159     -1  1.15102056E+03 0   603    6 1*2.2*7.6*1                      2p5.6f1                                          2p+3(3)3.6f-1(5)6
   160     -1  1.15103311E+03 0   603    6 1*2.2*7.6*1                      2p5.6f1                                          2p+3(3)3.6f+1(7)6
   161     -1  1.15105361E+03 0   603    8 1*2.2*7.6*1                      2p5.6f1                                          2p+3(3)3.6f+1(7)8
   162     -1  1.15105598E+03 0   603    4 1*2.2*7.6*1                      2p5.6f1                                          2p+3(3)3.6f-1(5)4
   163     -1  1.15118299E+03 1   604   10 1*2.2*7.6*1                      2p5.6g1                                          2p+3(3)3.6g-1(7)10
   164     -1  1.15119519E+03 1   604   12 1*2.2*7.6*1                      2p5.6g1                                          2p+3(3)3.6g+1(9)12
   165     -1  1.15123600E+03 0   605    6 1*2.2*7.6*1                      2p5.6h1                                          2p+3(3)3.6h-1(9)6
   166     -1  1.15124472E+03 0   605    8 1*2.2*7.6*1                      2p5.6h1                                          2p+3(3)3.6h+1(11)8
