FAC 1.1.5
Endian	= 0
TSess	= 1570375361
Type	= 1
Verbose	= 1
Ge Z	=  32.0
NBlocks	= 1
E0	= 0, -4.90495729E+04

NELE	= 10
NLEV	= 241
  ILEV  IBASE    ENERGY       P   VNL   2J
     0     -1  0.00000000E+00 0   201    0 1*2.2*8                          2p6                                              2p+4(0)0
     1     -1  1.23468078E+03 1   300    4 1*2.2*7.3*1                      2p5.3s1                                          2p+3(3)3.3s+1(1)4
     2     -1  1.23754896E+03 1   300    2 1*2.2*7.3*1                      2p5.3s1                                          2p+3(3)3.3s+1(1)2
     3     -1  1.26717228E+03 1   300    0 1*2.2*7.3*1                      2p5.3s1                                          2p-1(1)1.3s+1(1)0
     4     -1  1.26874814E+03 1   300    2 1*2.2*7.3*1                      2p5.3s1                                          2p-1(1)1.3s+1(1)2
     5     -1  1.27731105E+03 0   301    2 1*2.2*7.3*1                      2p5.3p1                                          2p+3(3)3.3p-1(1)2
     6     -1  1.28084708E+03 0   301    4 1*2.2*7.3*1                      2p5.3p1                                          2p+3(3)3.3p-1(1)4
     7     -1  1.28683689E+03 0   301    6 1*2.2*7.3*1                      2p5.3p1                                          2p+3(3)3.3p+1(3)6
     8     -1  1.28767229E+03 0   301    2 1*2.2*7.3*1                      2p5.3p1                                          2p+3(3)3.3p+1(3)2
     9     -1  1.29099769E+03 0   301    4 1*2.2*7.3*1                      2p5.3p1                                          2p+3(3)3.3p+1(3)4
    10     -1  1.30253785E+03 0   301    0 1*2.2*7.3*1                      2p5.3p1                                          2p+3(3)3.3p+1(3)0
    11     -1  1.31232573E+03 0   301    2 1*2.2*7.3*1                      2p5.3p1                                          2p-1(1)1.3p-1(1)2
    12     -1  1.32032462E+03 0   301    2 1*2.2*7.3*1                      2p5.3p1                                          2p-1(1)1.3p+1(3)2
    13     -1  1.32130032E+03 0   301    4 1*2.2*7.3*1                      2p5.3p1                                          2p-1(1)1.3p+1(3)4
    14     -1  1.33467684E+03 0   301    0 1*2.2*7.3*1                      2p5.3p1                                          2p-1(1)1.3p-1(1)0
    15     -1  1.34122505E+03 1   302    0 1*2.2*7.3*1                      2p5.3d1                                          2p+3(3)3.3d-1(3)0
    16     -1  1.34299514E+03 1   302    2 1*2.2*7.3*1                      2p5.3d1                                          2p+3(3)3.3d-1(3)2
    17     -1  1.34604363E+03 1   302    8 1*2.2*7.3*1                      2p5.3d1                                          2p+3(3)3.3d+1(5)8
    18     -1  1.34627150E+03 1   302    4 1*2.2*7.3*1                      2p5.3d1                                          2p+3(3)3.3d+1(5)4
    19     -1  1.34646747E+03 1   302    6 1*2.2*7.3*1                      2p5.3d1                                          2p+3(3)3.3d-1(3)6
    20     -1  1.34923472E+03 1   302    4 1*2.2*7.3*1                      2p5.3d1                                          2p+3(3)3.3d-1(3)4
    21     -1  1.35129545E+03 1   302    6 1*2.2*7.3*1                      2p5.3d1                                          2p+3(3)3.3d+1(5)6
    22     -1  1.35992737E+03 1   302    2 1*2.2*7.3*1                      2p5.3d1                                          2p+3(3)3.3d+1(5)2
    23     -1  1.37869145E+03 1   302    4 1*2.2*7.3*1                      2p5.3d1                                          2p-1(1)1.3d-1(3)4
    24     -1  1.38030081E+03 1   302    4 1*2.2*7.3*1                      2p5.3d1                                          2p-1(1)1.3d+1(5)4
    25     -1  1.38144554E+03 1   302    6 1*2.2*7.3*1                      2p5.3d1                                          2p-1(1)1.3d+1(5)6
    26     -1  1.38991095E+03 1   302    2 1*2.2*7.3*1                      2p5.3d1                                          2p-1(1)1.3d-1(3)2
    27     -1  1.42820854E+03 0   300    2 1*2.2*7.3*1                      2s1.3s1                                          2s+1(1)1.3s+1(1)2
    28     -1  1.43753614E+03 0   300    0 1*2.2*7.3*1                      2s1.3s1                                          2s+1(1)1.3s+1(1)0
    29     -1  1.47304395E+03 1   301    0 1*2.2*7.3*1                      2s1.3p1                                          2s+1(1)1.3p-1(1)0
    30     -1  1.47385059E+03 1   301    2 1*2.2*7.3*1                      2s1.3p1                                          2s+1(1)1.3p-1(1)2
    31     -1  1.48071861E+03 1   301    4 1*2.2*7.3*1                      2s1.3p1                                          2s+1(1)1.3p+1(3)4
    32     -1  1.48322582E+03 1   301    2 1*2.2*7.3*1                      2s1.3p1                                          2s+1(1)1.3p+1(3)2
    33     -1  1.53697191E+03 0   302    2 1*2.2*7.3*1                      2s1.3d1                                          2s+1(1)1.3d-1(3)2
    34     -1  1.53741424E+03 0   302    4 1*2.2*7.3*1                      2s1.3d1                                          2s+1(1)1.3d-1(3)4
    35     -1  1.53831883E+03 0   302    6 1*2.2*7.3*1                      2s1.3d1                                          2s+1(1)1.3d+1(5)6
    36     -1  1.54544068E+03 0   302    4 1*2.2*7.3*1                      2s1.3d1                                          2s+1(1)1.3d+1(5)4
    37     -1  1.67053775E+03 1   400    4 1*2.2*7.4*1                      2p5.4s1                                          2p+3(3)3.4s+1(1)4
    38     -1  1.67144494E+03 1   400    2 1*2.2*7.4*1                      2p5.4s1                                          2p+3(3)3.4s+1(1)2
    39     -1  1.68832812E+03 0   401    2 1*2.2*7.4*1                      2p5.4p1                                          2p+3(3)3.4p-1(1)2
    40     -1  1.68919470E+03 0   401    4 1*2.2*7.4*1                      2p5.4p1                                          2p+3(3)3.4p-1(1)4
    41     -1  1.69168879E+03 0   401    6 1*2.2*7.4*1                      2p5.4p1                                          2p+3(3)3.4p+1(3)6
    42     -1  1.69201893E+03 0   401    2 1*2.2*7.4*1                      2p5.4p1                                          2p+3(3)3.4p+1(3)2
    43     -1  1.69310007E+03 0   401    4 1*2.2*7.4*1                      2p5.4p1                                          2p+3(3)3.4p+1(3)4
    44     -1  1.69888681E+03 0   401    0 1*2.2*7.4*1                      2p5.4p1                                          2p+3(3)3.4p+1(3)0
    45     -1  1.70313088E+03 1   400    0 1*2.2*7.4*1                      2p5.4s1                                          2p-1(1)1.4s+1(1)0
    46     -1  1.70354174E+03 1   400    2 1*2.2*7.4*1                      2p5.4s1                                          2p-1(1)1.4s+1(1)2
    47     -1  1.71227491E+03 1   402    0 1*2.2*7.4*1                      2p5.4d1                                          2p+3(3)3.4d-1(3)0
    48     -1  1.71297367E+03 1   402    2 1*2.2*7.4*1                      2p5.4d1                                          2p+3(3)3.4d-1(3)2
    49     -1  1.71397192E+03 1   402    8 1*2.2*7.4*1                      2p5.4d1                                          2p+3(3)3.4d+1(5)8
    50     -1  1.71400544E+03 1   402    6 1*2.2*7.4*1                      2p5.4d1                                          2p+3(3)3.4d-1(3)6
